,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
25451,FA0041381,NESMON CAFE,PR0014302,NESMON CAFE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,13333 VENTURA BLVD,SHERMAN OAKS,CA,91423,34.14693296,-118.4236638,OW0026401,NYSO CORP,13333 VENTURA BLVD STE 100,SHERMAN OAKS,CA,91423,"(34.1469329568, -118.4236638459)",1358.0,3.0,44.0,19736.0
8591,FA0255324,EMERITA'S LA MICHOACANA ICE CREAM PARLOR,PR0204959,EMERITA'S LA MICHOACANA ICE CREAM PARLOR,1631,RESTAURANT (0-30) SEATS MODERATE RISK,37951 47TH ST # A1,PALMDALE,CA,93552,34.57223961,-118.04503740000001,OW0248269,DDPKE CORP,1030 MACLAY AVE,SAN FERNANDO,CA,91340,"(34.5722396123, -118.0450373945)",166.0,5.0,77.0,27325.0
14230,FA0042140,NUGH,PR0021718,NUGH,1635,RESTAURANT (31-60) SEATS HIGH RISK,17817 1/4 CHATSWORTH ST,GRANADA HILLS,CA,91344,34.2650368,-118.522149,OW0014788,HANSON TATE,17817 1/4  CHATSWORTH ST.,GRANADA HILLS,CA,91344,"(34.2650367992, -118.5221489945)",589.0,5.0,363.0,19329.0
25179,FA0268677,NORMANDIE BAKERY CAFE & CATERING,PR0220722,NORMANDIE BAKERY CAFE & CATERING,1631,RESTAURANT (0-30) SEATS MODERATE RISK,254 S HOPE ST,LOS ANGELES,CA,90012,34.05421828,-118.2516837,OW0228889,"NORMANDIE COUNTRY BAKERY, INC.",3022 COCHRAN AVE,LOS ANGELES,CA,90016,"(34.054218277, -118.2516836731)",540.0,1.0,343.0,22728.0
16557,FA0249823,JLW SUBWAY,PR0198630,JLW SUBWAY,1634,RESTAURANT (31-60) SEATS MODERATE RISK,728 W AVENUE J,LANCASTER,CA,93534,34.68941748,-118.14177120000001,OW0244028,JANICE MARIE WALTON,728 W AVENUE J,LANCASTER,CA,93534,"(34.6894174774, -118.1417711647)",331.0,5.0,18.0,26965.0
25794,FA0224406,OSTIONERIA COLINA SEAFOOD RESTAURANT,PR0179616,OSTIONERIA COLINA SEAFOOD RESTAURANT,1632,RESTAURANT (0-30) SEATS HIGH RISK,1465 W 3RD ST,LOS ANGELES,CA,90017,33.74152352,-118.3078594,OW0228883,OMAR ARRENDONDO,1465 W 3RD ST,LOS ANGELES,CA,90017,"(33.7415235184, -118.307859438)",47.0,4.0,188.0,3343.0
35002,FA0009709,COLD STONE CREAMERY #27,PR0013036,COLD STONE CREAMERY #27,1630,RESTAURANT (0-30) SEATS LOW RISK,14622 VENTURA BLVD STE 119,SHERMAN OAKS,CA,91403,34.15125277,-118.45176940000002,OW0034895,"TALEHAKIMI, FARAMARZ",14622   VENTURA BLVD 119,SHERMAN OAKS,CA,91403,"(34.1512527681, -118.4517693536)",463.0,3.0,44.0,19732.0
20831,FA0036496,LITTLE CAESAR #5909,PR0017432,LITTLE CAESAR #5909,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1910 S SAN PEDRO ST,LOS ANGELES,CA,90011,34.02735367,-118.25739879999999,OW0021931,"LITTLE CAESAR, INC",2211   WOODWARD AVE,DETROIT,MI,48201,"(34.0273536674, -118.2573987698)",1146.0,2.0,64.0,22727.0
22472,FA0009166,CINNABON #042,PR0022910,CINNABON #042,1630,RESTAURANT (0-30) SEATS LOW RISK,21880 HAWTHORNE BLVD STE 335B,TORRANCE,CA,90503,33.82892033,-118.35080430000001,OW0023435,"MARK KIM, EL AL",21880 HAWTHORNE BLVD 335B,TORRANCE,CA,90503,"(33.828920334, -118.3508043383)",816.0,4.0,102.0,25717.0
13923,FA0252481,H MART,PR0205580,H MART - MEAT DEPT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1101 W HUNTINGTON DR,ARCADIA,CA,91707,34.13101746,-118.06629199999999,OW0246246,H MART WEST INC.,11966 WASHINGTON BLVD,WHITTIER,CA,90606,"(34.1310174577, -118.0662920044)",1754.0,5.0,285.0,2447.0
