,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
4720,FA0267261,PULGARCITO QUERIDO,PR0218661,PULGARCITO QUERIDO,1638,RESTAURANT (61-150) SEATS HIGH RISK,10929 BURBANK BLVD,NORTH HOLLYWOOD,CA,91601,34.17218452,-118.3690525,OW0257867,BRANDON JIMENEZ,6205 CLYBOURN AVE,NORTH HOLLYWOOD,CA,91606,"(34.1721845188, -118.3690524817)",1426.0,3.0,394.0,8488.0
27356,FA0044633,PINK DOT,PR0012694,PINK DOT,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",8495 W SUNSET BLVD,WEST HOLLYWOOD,CA,90069,34.09452326,-118.3764043,OW0028599,PINK DOT SUNSET INC,8495   SUNSET BLVD,WEST HOLLYWOOD,CA,90069,"(34.0945232609, -118.3764043082)",1486.0,3.0,106.0,24034.0
37939,FA0017804,HUNTINGTON MEATS,PR0030987,HUNTINGTON MEATS,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",6333 W 3RD ST STE #350,LOS ANGELES,CA,90036,34.07134742,-118.35981540000002,OW0037268,VANCE-WELLIVER HUNTINGTON,6333 3RD ST # 350,LOS ANGELES,CA,90036,"(34.0713474165, -118.3598154354)",1626.0,3.0,120.0,23667.0
18555,FA0050202,SUNNYLAND WHOLESALE MARKET,PR0001965,SUNNYLAND WHOLESALE MARKET,1615,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",8134 SAN FERNANDO RD,SUN VALLEY,CA,91352,34.21873922,-118.36748329999999,OW0019190,"KIM, BYUNG HWAN",8134   SAN FERNANDO RD,SUN VALLEY,CA,91352,"(34.218739215, -118.3674832909)",1639.0,5.0,419.0,19335.0
4420,FA0061611,EL SUPER,PR0032332,EL SUPER - TORTILLERIA/DELI,1631,RESTAURANT (0-30) SEATS MODERATE RISK,10531 CARMENITA RD,SANTA FE SPRINGS,CA,90670,33.939350299999994,-118.04664779999999,OW0004937,BODEGA LATINA CORPORATION,14601 LAKEWOOD BLVD # B,PARAMOUNT,CA,90723,"(33.9393503003, -118.0466478058)",2170.0,4.0,91.0,25736.0
30103,FA0046517,RUBIO'S FRESH MEXICAN GRILL,PR0004590,RUBIO'S FRESH MEXICAN GRILL,1635,RESTAURANT (31-60) SEATS HIGH RISK,249 N GLENDALE AVE STE B,GLENDALE,CA,91206,34.14908182,-118.2462288,OW0030364,"RUBIO'S RESTAURANTS, INC.",2200 FARADAY STE 250,CARLSBAD,CA,92008,"(34.1490818224, -118.2462288362)",1533.0,5.0,305.0,3634.0
3605,FA0164485,BELLAIRE BANQUET HALL,PR0152759,BELLAIRE BANQUET HALL,1641,RESTAURANT (151 + ) SEATS HIGH RISK,7348 BELLAIRE AVE,NORTH HOLLYWOOD,CA,91605,34.20515159,-118.4092814,OW0127828,BELLAIRE BANQUET HALL INC,7348 BELLAIRE AVE,NORTH HOLLYWOOD,CA,91605,"(34.2051515917, -118.4092813904)",1580.0,3.0,394.0,8888.0
3452,FA0162779,LUCKY LIZARD,PR0150925,LUCKY LIZARD,1633,RESTAURANT (31-60) SEATS LOW RISK,15646 LEFFINGWELL RD,WHITTIER,CA,90604,33.93048949,-117.99506699999999,OW0126483,BBD INVESTMENTS INC.,15646 LEFFINGWELL RD,WHITTIER,CA,90604,"(33.9304894856, -117.9950669842)",2166.0,4.0,169.0,25724.0
21635,FA0066174,M&M OIL INC.,PR0004097,M&M OIL INC.,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1244 S INGLEWOOD AVE,INGLEWOOD,CA,90301,33.94574587,-118.3611481,OW0022690,M&M OIL INC.,1244  S INGLEWOOD AVE.,INGLEWOOD,CA,90301,"(33.9457458738, -118.3611480835)",940.0,2.0,13.0,25424.0
31160,FA0002104,SEE'S CANDY SHOPS INC.,PR0020398,SEE'S CANDY SHOPS INC.,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",16844 DEVONSHIRE ST,GRANADA HILLS,CA,91344,34.25730522,-118.4996633,OW0032100,"SEE'S CANDIES, INC.",210 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,"(34.2573052202, -118.4996633368)",592.0,5.0,391.0,19329.0
10072,FA0061384,EL COLMAO RESTAURANT,PR0009346,EL COLMAO RESTAURANT,1638,RESTAURANT (61-150) SEATS HIGH RISK,2328 W PICO BLVD,LOS ANGELES,CA,90006,34.04709505,-118.2873437,OW0010818,EL COLMAO INC,2328  W PICO BLVD,LOS ANGELES,CA,90006,"(34.0470950469, -118.2873436704)",721.0,2.0,390.0,22723.0
12206,FA0020838,LA FLOR DE MICHOACAN MKT & B,PR0039172,LA FLOR DE MICHOACAN COSINA,1632,RESTAURANT (0-30) SEATS HIGH RISK,12116 VANOWEN ST,NORTH HOLLYWOOD,CA,91605,34.19380032,-118.39714509999999,OW0012777,"GARCIA, ALVARO",12116   VANOWEN ST,NORTH HOLLYWOOD,CA,91605,"(34.1938003215, -118.3971451442)",1397.0,3.0,394.0,8889.0
12854,FA0008862,BEN&JERRY'S,PR0014099,BEN&JERRY'S,1630,RESTAURANT (0-30) SEATS LOW RISK,15301 VENTURA BLVD STE P6,SHERMAN OAKS,CA,91403,34.15411353,-118.4665419,OW0013194,GHUMMAN ENTERPRISES INC,15301 VENTURA BLVD STE P6,SHERMAN OAKS,CA,91403,"(34.1541135299, -118.4665419349)",600.0,3.0,44.0,19732.0
16527,FA0245587,SQUARE BOX,PR0193951,SQUARE BOX,1635,RESTAURANT (31-60) SEATS HIGH RISK,10450 ARTESIA BLVD,BELLFLOWER,CA,90716,33.872397,-118.111066,OW0240614,JAMES JONGWON PARK,10450 ARTESIA BLVD,BELLFLOWER,CA,90716,"(33.872397, -118.111066)",1882.0,4.0,291.0,26326.0
11673,FA0179777,FOUR STAR LIQOUR & MARKET,PR0173437,FOUR STAR LIQOUR & MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13922 NORDHOFF ST,ARLETA,CA,91331,34.2348828,-118.43644259999999,OW0185271,FOUR STAR LIQOUR & MARKET INC,13922 NORDHOFF ST,ARLETA,CA,91331,"(34.2348828, -118.4364426)",1550.0,3.0,325.0,18907.0
30517,FA0267694,THE LIQUID BEAN COFFEE HOUSE,PR0219221,THE LIQUID BEAN COFFEE HOUSE,1630,RESTAURANT (0-30) SEATS LOW RISK,1711 W WEST AVE K,LANCASTER,CA,93534,34.67533228,-118.09799,OW0258235,SAM OL HEM,1711 W AVE K,LANCASTER,CA,93534,"(34.6753322783, -118.0979900269)",149.0,5.0,18.0,26966.0
20985,FA0026795,HAPPY FAMILY RESTAURANT,PR0033302,HAPPY FAMILY RESTAURANT,1638,RESTAURANT (61-150) SEATS HIGH RISK,18425 COLIMA RD # #2F-B,ROWLAND HEIGHTS,CA,91748,33.98838178,-117.90318319999999,OW0022065,LOMA LINDA VEGE INC.,18425   COLIMA ROAD #2-FB,ROWLAND HEIGHTS,CA,91748,"(33.9883817795, -117.9031832465)",2235.0,4.0,234.0,9329.0
35770,FA0245167,THE CURIOUS PALATE,PR0193535,THE CURIOUS PALATE,1638,RESTAURANT (61-150) SEATS HIGH RISK,395 SANTA&#160;MONICA PL # 321,SANTA&#160;MONICA,CA,90401,34.01503205,-118.4937503,OW0035535,THE CURIOUS PALATE INC.,395 SANTA&#160;MONICA PL # 321,SANTA&#160;MONICA,CA,90401,"(34.0150320453, -118.493750295)",372.0,3.0,93.0,25426.0
7125,FA0046232,ROSE GARDEN CAFE,PR0032462,ROSE GARDEN CAFE,1637,RESTAURANT (61-150) SEATS MODERATE RISK,5930 FRANKLIN AVE,LOS ANGELES,CA,90028,34.10505915,-118.31873290000001,OW0008097,CHURCH OF SCIENTOLOGY CELEBR,5930   FRANKLIN AVE,LOS ANGELES,CA,90028,"(34.1050591546, -118.3187329007)",1409.0,3.0,359.0,23446.0
22254,FA0266189,PALETERIA Y NEVERIA FIESTA MICHOACAN,PR0217495,PALETERIA Y NEVERIA FIESTA MICHOACAN,1631,RESTAURANT (0-30) SEATS MODERATE RISK,2080 S CENTRAL AVE,LOS ANGELES,CA,90011-1235,34.0225146,-118.25226470000001,OW0257007,MARIA BUCIO,2080 S CENTRAL AVE,LOS ANGELES,CA,90011-1235,"(34.0225145975, -118.2522647441)",775.0,2.0,255.0,22727.0
6045,FA0015164,CHUCK E CHEESE'S #447,PR0042733,CHUCK E CHEESE'S # 447,1640,RESTAURANT (151 + ) SEATS MODERATE RISK,15100 ROSECRANS AVE,LA MIRADA,CA,90638,33.89848166,-118.0089966,OW0006627,CEC ENTERTAINMENT INC,1707 MARKET PLACE BLVD STE 200,IRVING,TX,75063,"(33.8984816642, -118.0089965717)",2010.0,4.0,315.0,25732.0
34348,FA0071419,SUPER A FOODS,PR0009493,SUPER A FOODS MEAT DEPT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",6380 E FLORENCE AVE,BELL GARDENS,CA,90201,33.96428397,-118.1508495,OW0034451,SUPER A FOODS INC,7200   DOMINION CIRCLE,LOS ANGELES,CA,90040,"(33.9642839654, -118.1508494939)",1949.0,1.0,290.0,24345.0
11301,FA0023283,FLINTRIDGE BOOKSTORE & COFFE,PR0036816,FLINTRIDGE BOOKSTORE & COFFE,1633,RESTAURANT (31-60) SEATS LOW RISK,1010 FOOTHILL BLVD,LA CANADA FLINTRIDGE,CA,91011,34.20433273,-118.2007534,OW0011947,FLINTRIDGE BOOKSTORE & COFFE,1010   FOOTHILL BLVD,LA CANADA FLINTRIDGE,CA,91011,"(34.2043327342, -118.200753382)",1589.0,5.0,313.0,2832.0
24726,FA0252765,WIENERSCHITZEL #24,PR0202121,WIENERSCHITZEL #24,1631,RESTAURANT (0-30) SEATS MODERATE RISK,509 W ROUTE 66,GLENDORA,CA,91740,34.12883152,-117.87132150000001,OW0246458,NELSON ALEXIS LOPEZ FLORES,509 W ROUTE 66,GLENDORA,CA,91740,"(34.1288315188, -117.8713215)",2293.0,5.0,308.0,9320.0
14811,FA0170045,JACK IN THE BOX #3227,PR0160496,JACK IN THE BOX #3227,1634,RESTAURANT (31-60) SEATS MODERATE RISK,1670 W MISSION BLVD,POMONA,CA,91766,34.05354908,-117.77761909999998,OW0133004,"HIGHLAND FOOD EXPRESS, INC.",1670 W MISSION BLVD,POMONA,CA,91766,"(34.0535490807, -117.7776191278)",2270.0,1.0,83.0,10125.0
18870,FA0051529,THE LOFT HAWAIIAN RESTAURANT,PR0012094,THE LOFT HAWAIIAN RESTAURANT,1635,RESTAURANT (31-60) SEATS HIGH RISK,20157 S PIONEER BLVD,LAKEWOOD,CA,90715,33.84635039,-118.08222830000001,OW0019724,KKOZ OHANA VENTURES LLC,20157  S PIONEER BLVD,LAKEWOOD,CA,90715,"(33.8463503917, -118.0822282598)",1989.0,4.0,17.0,3333.0
7500,FA0060024,COCO'S #167,PR0035128,COCO'S #167,1638,RESTAURANT (61-150) SEATS HIGH RISK,306 N AZUSA AVE # #167,COVINA,CA,91722,34.08790033,-117.9076863,OW0008438,"COCO'S RESTAURANTS, LLC",9400 SW GEMINI DR,BEAVERTON,OR,97008,"(34.0879003263, -117.9076862563)",2184.0,5.0,8.0,8901.0
37240,FA0243971,JASMINE'S CAFE,PR0192232,JASMINE'S CAFE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,18927 DAISETTA ST # 102,ROWLAND HEIGHTS,CA,91748,33.9899606,-117.89120630000001,OW0239208,TRUE STAR 2013,18927 DAISETTA ST # 102,ROWLAND HEIGHTS,CA,91748,"(33.9899606, -117.8912063)",2235.0,4.0,234.0,9329.0
24474,FA0025760,GNC 2330,PR0013414,GNC 2330,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",19193 GOLDEN VALLEY RD,CANYON COUNTRY,CA,91387,34.3928396,-118.46575729999999,OW0025507,NAEEN M BILLOO ET AL,19193 GOLDEN VALLEY RD,CANYON COUNTRY,CA,91387,"(34.3928396, -118.4657573)",336.0,5.0,90.0,4290.0
23495,FA0179771,KAREN'S MINI MARKET,PR0173431,KAREN'S MINI MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2624 ZOE AVE,HUNTINGTON PARK,CA,90255,33.97923787,-118.2244156,OW0185263,MIGUEL ANGEL RODRIGUEZ,2624 ZOE AVE,HUNTINGTON PARK,CA,90255,"(33.9792378722, -118.2244156216)",1034.0,1.0,11.0,24689.0
37591,FA0170909,UNIVERSAL STUDIOS HOLLYWOOD,PR0176097,STARBUCKS,1636,RESTAURANT (61-150) SEATS LOW RISK,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,CA,91608,34.14247099,-118.35682479999998,OW0036927,UNIVERSAL CITY STUDIOS LLC,100 UNIVERSAL CITY PLZ BLDG 511-6,UNIVERSAL CITY,CA,91608,"(34.1424709902, -118.3568247802)",1653.0,3.0,270.0,8891.0
8615,FA0027210,GUISADOS,PR0021598,GUISADOS,1632,RESTAURANT (0-30) SEATS HIGH RISK,2100 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,34.04816314,-118.2114246,OW0009565,"DE LA TORRE, ARMANDO DANIEL",2100 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,"(34.0481631372, -118.2114245892)",1214.0,1.0,332.0,23450.0
35883,FA0264912,"THE HUGRY TRADER, LLC",PR0216075,"THE HUGRY TRADER, LLC",1635,RESTAURANT (31-60) SEATS HIGH RISK,5224 WILSHIRE BLVD,LOS ANGELES,CA,90036,34.06211399,-118.3434896,OW0255970,"THE HUNGRY TRADER, LLC",5200 WILSHIRE BLVD,LOS ANGELES,CA,90036,"(34.0621139881, -118.3434896261)",1529.0,3.0,366.0,23667.0
38348,FA0250629,LITTLE BEAN CAFE,PR0199642,LITTLE BEAN CAFE,1634,RESTAURANT (31-60) SEATS MODERATE RISK,3250 W OLYMPIC BLVD STE 325,LOS ANGELES,CA,90006-2371,34.05262853,-118.30773149999999,OW0244710,VISION SK CORP,3250 W OLYMPIC BLVD STE 325,LOS ANGELES,CA,90006-2371,"(34.0526285323, -118.3077315)",1002.0,2.0,372.0,22723.0
4978,FA0028330,HOMETOWN BUFFET #0743,PR0016025,HOMETOWN BUFFET #0743,1641,RESTAURANT (151 + ) SEATS HIGH RISK,1318 N AZUSA AVE,COVINA,CA,91723,34.10325382,-117.90750700000001,OW0005414,BUFFETS INC,120 CHULA VISTA,HOLLYWOOD PARK,TX,78232,"(34.1032538208, -117.9075069757)",2287.0,5.0,8.0,8901.0
8998,FA0027219,GUS'S LIQUOR,PR0022732,GUS'S LIQUOR,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",22907 VENTURA BLVD,WOODLAND HILLS,CA,91364,34.16550321,-118.6256264,OW0009915,"DIAB, ZIAD",22907   VENTURA BLVD,WOODLAND HILLS,CA,91364,"(34.1655032125, -118.62562641)",606.0,3.0,69.0,19346.0
11517,FA0062171,FOOD 4 LESS #366,PR0002683,FOOD 4 LESS #366,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",10901 E IMPERIAL HWY,NORWALK,CA,90650,33.91808139,-118.10145700000001,OW0012108,"FOOD 4 LESS, INC.",PO BOX 54143,LOS ANGELES,CA,90054,"(33.9180813896, -118.1014570131)",1938.0,4.0,76.0,25734.0
10657,FA0174711,THE ALBRIGHT,PR0167740,THE ALBRIGHT,1641,RESTAURANT (151 + ) SEATS HIGH RISK,258 SANTA&#160;MONICA PIER,SANTA&#160;MONICA,CA,90401,34.01524035,-118.4963896,OW0181348,EST 1977 SMPS CO,258 SANTA&#160;MONICA PIER,SANTA&#160;MONICA,CA,90401,"(34.0152403519, -118.4963895908)",372.0,3.0,93.0,25426.0
18603,FA0069752,ROSE MARKET,PR0000337,ROSE MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",11470 OXNARD ST,NORTH HOLLYWOOD,CA,91601,34.17927744,-118.3813679,OW0019307,"KIM, JAE",11470   OXNARD ST,NORTH HOLLYWOOD,CA,91601,"(34.1792774416, -118.3813679165)",1605.0,3.0,394.0,8488.0
30106,FA0046520,RUBIO'S FRESH MEXICAN GRILL,PR0036496,RUBIO'S FRESH MEXICAN GRILL,1638,RESTAURANT (61-150) SEATS HIGH RISK,2000 N SEPULVEDA BLVD,MANHATTAN BEACH,CA,90266,33.89259458,-118.3957855,OW0030364,"RUBIO'S RESTAURANTS, INC.",2200 FARADAY STE 250,CARLSBAD,CA,92008,"(33.892594584, -118.3957855097)",1139.0,4.0,68.0,25064.0
12984,FA0011940,CAFE LA BOHEME,PR0029979,CAFE LA BOHEME,1641,RESTAURANT (151 + ) SEATS HIGH RISK,8400 SANTA&#160;MONICA BLVD,WEST HOLLYWOOD,CA,90069,34.09036145,-118.37348840000001,OW0013395,GLOBAL INVESTMENT CONSEPT IN,8400   SANTA&#160;MONICA BLVD,WEST HOLLYWOOD,CA,90069,"(34.090361446, -118.3734884233)",1486.0,3.0,106.0,24034.0
7753,FA0248435,AVILES MARKET,PR0197083,AVILES MARKET,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",3052 W 7TH ST,LOS ANGELES,CA,90005,34.05971306,-118.2906795,OW0242849,CORNELIO CASTREJON-GOMEZ & FRANCISCA AVILES,3052 W 7TH ST,LOS ANGELES,CA,90005,"(34.0597130589, -118.2906794713)",997.0,2.0,61.0,22722.0
38196,FA0263296,PICO DONUTS AND CROISSANTS,PR0214174,PICO DONUTS AND CROISSANTS,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1565 W PICO BLVD,LOS ANGELES,CA,90015,34.04456274,-118.2766008,OW0254644,VICKY ENG ITH,109 W SAXON AVE # A,SAN GABRIEL,CA,91776,"(34.0445627442, -118.2766008464)",965.0,1.0,390.0,23076.0
601,FA0172432,BERGIES BAR & GRILL,PR0164992,BERGIES BAR & GRILL,1638,RESTAURANT (61-150) SEATS HIGH RISK,16404 DELONE ST,SANTA CLARITA,CA,91387-5312,34.4237885,-118.42283929999999,OW0179464,A1NEY CORPORATION,16404 DELONE ST,SANTA CLARITA,CA,91387-5312,"(34.4237884968, -118.4228393399)",272.0,5.0,90.0,19354.0
37403,FA0159513,UBATUBA ACAI KOREATOWN,PR0147576,UBATUBA ACAI KOREATOWN,1631,RESTAURANT (0-30) SEATS MODERATE RISK,549 S WESTERN AVE,LOS ANGELES,CA,90020,34.06389722,-118.30938390000001,OW0124526,UBATUBA ACAI KOREATOWN LLC,549 S WESTERN AVE,LOS ANGELES,CA,90020,"(34.0638972185, -118.3093838896)",1349.0,2.0,66.0,23081.0
4064,FA0242203,BIRDS & BEES,PR0190355,BIRDS & BEES,1631,RESTAURANT (0-30) SEATS MODERATE RISK,207 S BROADWAY,LOS ANGELES,CA,90012,34.05217089,-118.246951,OW0237896,"BIRDS AND BEES , LLC",21231 AVENIDA NUBES,LAKE FOREST,CA,92630,"(34.0521708901, -118.2469509773)",656.0,1.0,343.0,22728.0
8734,FA0258113,DEL TACO #1231,PR0208094,DEL TACO #1231,1634,RESTAURANT (31-60) SEATS MODERATE RISK,2425 WILSHIRE,SANTA&#160;MONICA,CA,90403,34.034582,-118.4792612,OW0244774,DEL TACO LLC,25521 COMMERCENTRE DR STE 200,LAKE FOREST,CA,92630,"(34.0345819997, -118.4792612148)",445.0,3.0,93.0,25712.0
15207,FA0261078,PHO SEASON,PR0211552,PHO SEASON,1635,RESTAURANT (31-60) SEATS HIGH RISK,2222 FOOTHILL BLVD STE B,LA CANADA FLINTRIDGE,CA,91011,34.21613628,-118.2254848,OW0252760,HOPELEE FAMILY INC,2222 FOOTHILL BLVD STE B,LA CANADA FLINTRIDGE,CA,91011,"(34.2161362781, -118.2254847896)",1650.0,5.0,313.0,2832.0
33856,FA0049607,STATER BROS #49,PR0021176,STATER BROS #49 (DELI ),1632,RESTAURANT (0-30) SEATS HIGH RISK,1055 W FOOTHILL BLVD,CLAREMONT,CA,91711,34.10723135,-117.73572659999998,OW0033964,STATER BROS. MARKETS INC.,PO BOX 150,SAN BERNARDINO,CA,92402,"(34.1072313529, -117.735726638)",2340.0,1.0,6.0,8900.0
17558,FA0250971,TOMATILLO EXPRESS MEXICAN GRILL,PR0200069,TOMATILLO EXPRESS MEXICAN GRILL,1631,RESTAURANT (0-30) SEATS MODERATE RISK,28103 HAWTHORNE BLVD,RANCHO PALOS VERDES,CA,90275,33.77898327,-118.3914971,OW0244970,JUAN CARLOS DE ALBA HERNANDEZ,28103 HAWTHORNE BLVD,RANCHO PALOS VERDES,CA,90275,"(33.7789832667, -118.3914971019)",50.0,4.0,84.0,25068.0
24646,FA0265764,BURGERIM,PR0217050,BURGERIM,1632,RESTAURANT (0-30) SEATS HIGH RISK,1620 MONTEBELLO TOWN CTR,MONTEBELLO,CA,90640,34.03691623,-118.08687809999999,OW0256666,"NAVARRO RESTAURANT GROUP, LLC",1620 MONTEBELLO TOWN CTR,MONTEBELLO,CA,90640,"(34.0369162314, -118.0868780985)",2183.0,1.0,74.0,25733.0
25228,FA0042021,NORTHGATE MARKET #23,PR0007207,NORTHGATE MARKET #23,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",311 W PACIFIC COAST HWY STE D,WILMINGTON,CA,90744,33.79116894,-118.2660236,OW0026268,NORTHGATE GONZALEZ LLC,1201 N MAGNOLIA AVE,ANAHEIM,CA,92801,"(33.7911689368, -118.2660235827)",77.0,4.0,65.0,3350.0
23847,FA0270898,MR. OBANYAKI,PR0223555,MR. OBANYAKI,1631,RESTAURANT (0-30) SEATS MODERATE RISK,2085 S ATLANTIC BLVD STE J,MONTEREY PARK,CA,91754-6350,,,OW0260851,MOK ENTERPRISES LLC,1833 S EL MOLINO ST,ALHAMBRA,CA,91801,,,,,
18662,FA0024983,GARDENA CINEMA,PR0003271,GARDENA CINEMA,1631,RESTAURANT (0-30) SEATS MODERATE RISK,14948 S CRENSHAW BLVD,GARDENA,CA,90249,33.89597795,-118.32607240000002,OW0019472,"KIM, SOO MYOUNG",14948  S CRENSHAW BL,GARDENA,CA,90249,"(33.8959779495, -118.3260724318)",1130.0,2.0,304.0,24686.0
1200,FA0003264,ALBERTSON'S #140,PR0024607,ALBERTSON'S #140 - MAIN MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",7676 FIRESTONE BLVD,DOWNEY,CA,90241,33.94526695,-118.1439973,OW0002029,"ALBERTSONS, LLC",PO BOX 29096 MS #6531,PHOENIX,AZ,85038-9096,"(33.945266946, -118.143997336)",1922.0,4.0,303.0,24681.0
16701,FA0030212,JC FARM MARKET,PR0020412,JC FARM MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",8505 RESEDA BLVD,NORTHRIDGE,CA,91324-4629,34.22482996,-118.5362935,OW0101192,"JC FARM MARKET, LLC.",8505 RESEDA BLVD,NORTHRIDGE,CA,91324-4629,"(34.2248299567, -118.5362934666)",385.0,3.0,396.0,18513.0
2502,FA0252545,BREAK ROOM JUICE BAR & CAFE,PR0201859,BREAK ROOM JUICE BAR & CAFE,1632,RESTAURANT (0-30) SEATS HIGH RISK,22941 VENTURA BLVD STE A,WOODLAND HILLS,CA,91364-1258,34.16504236,-118.6265104,OW0246302,ARNET INC.,22941 VENTURA BLVD STE A,WOODLAND HILLS,CA,91364-1258,"(34.1650423636, -118.6265104355)",606.0,3.0,69.0,19346.0
19213,FA0052917,TOP VALUE MARKET,PR0002262,TOP VALUE MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",4831 E WHITTIER BLVD,LOS ANGELES,CA,90022,34.02195133,-118.1636571,OW0020102,KV MART CO,522 E VERMONT AVE,ANAHEIM,CA,92805,"(34.0219513319, -118.1636571098)",1694.0,1.0,162.0,23440.0
26050,FA0043308,OUR SAVIORS FOOD PANTRY,PR0011499,OUR SAVIORS FOOD PANTRY,1630,RESTAURANT (0-30) SEATS LOW RISK,16603 S F MISSION BLVD,GRANADA HILLS,CA,91344,34.272346999999996,-118.49428429999999,OW0027042,OUR SAVIORS FIRST,16603   SAN FERNANDO MISSION,GRANADA HILLS,CA,91344,"(34.272347, -118.4942843)",481.0,5.0,363.0,19329.0
40570,FA0053699,VALLARTA SUPERMARKET #18,PR0039253,VALLARTA SUPER MARKET-MEAT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",10175 SAN FERNANDO RD,PACOIMA,CA,91331,34.25509796,-118.41076969999999,OW0013773,"ZIXTA ENTERPRISES, INC.",10147 SAN FERNANDO ROAD,PACOIMA,CA,91331,"(34.2550979598, -118.4107696847)",1570.0,3.0,397.0,18907.0
27100,FA0025318,GOLDEN BIRD,PR0022234,GOLDEN BIRD,1631,RESTAURANT (0-30) SEATS MODERATE RISK,2847 S CRENSHAW BLVD,LOS ANGELES,CA,90016,34.02982741,-118.33533829999999,OW0028355,PETIT ERROL,2847  S CRENSHAW BLVD.,LOS ANGELES,CA,90016,"(34.0298274125, -118.3353382664)",1269.0,2.0,335.0,23077.0
11754,FA0023767,FRANTONE'S PIZZA & SPAGHETTI V,PR0007763,FRANTONE'S PIZZA & SPAGHETTI,1631,RESTAURANT (0-30) SEATS MODERATE RISK,11110 ALONDRA BLVD,NORWALK,CA,90650,33.88742595,-118.09747320000001,OW0012310,"FRANTONE'S, INC.",10808 E ALONDRA,ARTESIA,CA,90701,"(33.8874259543, -118.0974732152)",2089.0,4.0,76.0,26324.0
7519,FA0048680,STARBUCKS #5858,PR0004438,STARBUCKS,1633,RESTAURANT (31-60) SEATS LOW RISK,26531 AGOURA RD,CALABASAS,CA,91302,34.14358391,-118.7014675,OW0130500,"COFFEE HOUSE HOLDINGS, INC.",P.O. BOX 34442-TAX 2,SEATTLE,WA,98124,"(34.1435839069, -118.7014675347)",360.0,3.0,4.0,4276.0
35721,FA0177583,THE BRIXTON,PR0170609,THE BRIXTON,1638,RESTAURANT (61-150) SEATS HIGH RISK,2827 PICO BLVD,SANTA&#160;MONICA,CA,90405,34.02455232,-118.4603172,OW0183498,THE BRIXTON RESTAURANT LLC,2827 PICO BLVD,SANTA&#160;MONICA,CA,90405,"(34.0245523239, -118.4603171657)",446.0,3.0,93.0,25714.0
23209,FA0165287,MENDOCINO FARMS,PR0153604,MENDOCINO FARMS,1635,RESTAURANT (31-60) SEATS HIGH RISK,735 S FIGUEROA ST #129,LOS ANGELES,CA,90017,34.04890097,-118.26040049999999,OW0009183,"MENDOCINO FARMS, LLC",1938 N WOODLAWN # 110,WICHITA,KS,67208,"(34.048900974, -118.2604005328)",709.0,1.0,343.0,23078.0
26041,FA0224977,OBSERVATION DECK US BANK BUILDING,PR0180273,OBSERVATION DECK US BANK BUILDING,1630,RESTAURANT (0-30) SEATS LOW RISK,633 W 5TH ST STE 70F,LOS ANGELES,CA,90071,33.73966333,-118.2908193,OW0229442,OUE SKYSPACE LLC,633 W 5TH ST STE 850,LOS ANGELES,CA,90071,"(33.7396633265, -118.2908193356)",83.0,4.0,43.0,3342.0
29528,FA0019527,DON ZARAPE #2,PR0035513,DON ZARAPE #2,1635,RESTAURANT (31-60) SEATS HIGH RISK,5560 VINELAND AVE STE E & F,NORTH HOLLYWOOD,CA,91601,34.17168237,-118.37008590000002,OW0030367,ROBLES MIGUEL ET AL,5560   VINELAND AVE E & F,NORTH HOLLYWOOD,CA,91601,"(34.1716823716, -118.3700858502)",1462.0,3.0,394.0,8488.0
